formula,anon,label
"Cs: 1, Zr: 1, P: 1, Se: 6","elem_9024: 1, elem_5500: 1, elem_4874: 1, elem_7611: 6",0
"Cu: 1, Ir: 2, S: 4","elem_1377: 1, elem_7311: 2, elem_9062: 4",1
"Cu: 1, N: 2, O: 6","elem_1377: 1, elem_4922: 2, elem_9902: 6",1
"Cu: 0.5, Ge: 1, Pb: 1.75, S: 4","elem_1377: 0.5, elem_6419: 1, elem_5427: 1.75, elem_9062: 4",0
"Cu: 0.96, Bi: 2, Se: 3, I: 1","elem_1377: 0.96, elem_9183: 2, elem_7611: 3, elem_7655: 1",0
"Cu: 1.8, S: 1","elem_1377: 1.8, elem_9062: 1",0
"Cu: 10, Sb: 3","elem_1377: 10, elem_3476: 3",1
"Cu: 11, Sb: 4, S: 13","elem_1377: 11, elem_3476: 4, elem_9062: 13",1
"Cu: 15, Si: 4","elem_1377: 15, elem_1995: 4",1
"Cu: 18, S: 11","elem_1377: 18, elem_9062: 11",1
"Cu: 23, Sb: 8, S: 26","elem_1377: 23, elem_3476: 8, elem_9062: 26",1
"Cu: 25, Se: 26","elem_1377: 25, elem_7611: 26",1
"Cu: 2, Ge: 1, S: 3","elem_1377: 2, elem_6419: 1, elem_9062: 3",0
"Cu: 2, Ge: 1, Se: 3","elem_1377: 2, elem_6419: 1, elem_7611: 3",0
"Cu: 2, H: 3, Cl: 1, O: 3","elem_1377: 2, elem_9158: 3, elem_7530: 1, elem_9902: 3",1
"Cu: 2, Hg: 2, S: 1, F: 6","elem_1377: 2, elem_7286: 2, elem_9062: 1, elem_6130: 6",1
"Cu: 2, Hg: 1, Ge: 1, Se: 4","elem_1377: 2, elem_7286: 1, elem_6419: 1, elem_7611: 4",1
"Cu: 2, O: 1","elem_1377: 2, elem_9902: 1",0
"Cu: 2, O: 1, F: 2","elem_1377: 2, elem_9902: 1, elem_6130: 2",1
"Cu: 2, P: 1, H: 1, O: 5","elem_1377: 2, elem_4874: 1, elem_9158: 1, elem_9902: 5",1
"Cu: 2, Sb: 1","elem_1377: 2, elem_3476: 1",1
"Cu: 2, Se: 1","elem_1377: 2, elem_7611: 1",0
"Cu: 2, Sn: 1, Se: 3","elem_1377: 2, elem_8076: 1, elem_7611: 3",0
"Cu: 2, Te: 1","elem_1377: 2, elem_4345: 1",0
"Cu: 2, Te: 3, O: 8","elem_1377: 2, elem_4345: 3, elem_9902: 8",0
"Cu: 2, W: 1, Se: 4","elem_1377: 2, elem_7486: 1, elem_7611: 4",0
"Cu: 3, Bi: 4, I: 16","elem_1377: 3, elem_9183: 4, elem_7655: 16",1
"Cu: 3, P: 4, O: 14","elem_1377: 3, elem_4874: 4, elem_9902: 14",1
"Cu: 3, As: 1, S: 4","elem_1377: 3, elem_2057: 1, elem_9062: 4",0
"Cu: 3, As: 1, Se: 4","elem_1377: 3, elem_2057: 1, elem_7611: 4",0
"Cu: 3, Bi: 6, S: 10, I: 1","elem_1377: 3, elem_9183: 6, elem_9062: 10, elem_7655: 1",0
"Cu: 3, Hg: 2, Te: 6, O: 16","elem_1377: 3, elem_7286: 2, elem_4345: 6, elem_9902: 16",0
"Cu: 3, Pd: 1","elem_1377: 3, elem_8322: 1",1
"Cu: 3, Sb: 1, S: 4","elem_1377: 3, elem_3476: 1, elem_9062: 4",0
"Cu: 3, Sb: 1, Se: 4","elem_1377: 3, elem_3476: 1, elem_7611: 4",0
"Cu: 3, Se: 2, Cl: 2, O: 6","elem_1377: 3, elem_7611: 2, elem_7530: 2, elem_9902: 6",1
"Cu: 4, As: 2, O: 9","elem_1377: 4, elem_2057: 2, elem_9902: 9",1
"Cu: 4, H: 10, S: 1, O: 12","elem_1377: 4, elem_9158: 10, elem_9062: 1, elem_9902: 12",1
"Cu: 4, Pd: 1","elem_1377: 4, elem_8322: 1",1
"Cu: 4, Sn: 7, S: 16","elem_1377: 4, elem_8076: 7, elem_9062: 16",0
"Cu: 4, W: 1, S: 4, Cl: 4","elem_1377: 4, elem_7486: 1, elem_9062: 4, elem_7530: 4",1
"Cu: 5, Si: 4, O: 14","elem_1377: 5, elem_1995: 4, elem_9902: 14",1
"Cu: 6, Pb: 1, O: 8","elem_1377: 6, elem_5427: 1, elem_9902: 8",1
"Cu: 7, Hg: 6","elem_1377: 7, elem_7286: 6",1
"Cu: 8, O: 1","elem_1377: 8, elem_9902: 1",1
"Cu: 9, O: 13","elem_1377: 9, elem_9902: 13",1
"Cu: 9, S: 5","elem_1377: 9, elem_9062: 5",1
"Cu: 9, Se: 4, Cl: 6, O: 14","elem_1377: 9, elem_7611: 4, elem_7530: 6, elem_9902: 14",1
"Cu: 1, B: 1, S: 2","elem_1377: 1, elem_8033: 1, elem_9062: 2",0
"Cu: 1, Bi: 1, P: 2, Se: 6","elem_1377: 1, elem_9183: 1, elem_4874: 2, elem_7611: 6",0
"Cu: 1, Bi: 1, Pb: 1, S: 3","elem_1377: 1, elem_9183: 1, elem_5427: 1, elem_9062: 3",0
"Cu: 1, Bi: 1, Pb: 1, Se: 3","elem_1377: 1, elem_9183: 1, elem_5427: 1, elem_7611: 3",0
"Cu: 1, Bi: 1, S: 1, O: 1","elem_1377: 1, elem_9183: 1, elem_9062: 1, elem_9902: 1",0
"Cu: 1, Bi: 1, Se: 1, O: 1","elem_1377: 1, elem_9183: 1, elem_7611: 1, elem_9902: 1",0
"Cu: 1, Br: 1","elem_1377: 1, elem_1698: 1",0
"Cu: 1, C: 1, N: 2","elem_1377: 1, elem_2375: 1, elem_4922: 2",1
"Cu: 1, Cl: 1","elem_1377: 1, elem_7530: 1",0
"Cu: 1, Cl: 1, O: 2","elem_1377: 1, elem_7530: 1, elem_9902: 2",1
"Cu: 1, F: 1","elem_1377: 1, elem_6130: 1",1
"Cu: 1, Hg: 1, Se: 2, O: 6","elem_1377: 1, elem_7286: 1, elem_7611: 2, elem_9902: 6",0
"Cu: 1, I: 1","elem_1377: 1, elem_7655: 1",0
"Cu: 1, Mo: 1, O: 4","elem_1377: 1, elem_3373: 1, elem_9902: 4",1
"Cu: 1, N: 3","elem_1377: 1, elem_4922: 3",0
"Cu: 1, Ni: 1, C: 4, N: 4","elem_1377: 1, elem_7611: 1, elem_2375: 4, elem_4922: 4",0
"Cu: 1, P: 2","elem_1377: 1, elem_4874: 2",0
"Cu: 1, P: 2, H: 2, O: 6","elem_1377: 1, elem_4874: 2, elem_9158: 2, elem_9902: 6",1
"Cu: 1, P: 1, O: 4, F: 1","elem_1377: 1, elem_4874: 1, elem_9902: 4, elem_6130: 1",1
"Cu: 1, P: 1, S: 3","elem_1377: 1, elem_4874: 1, elem_9062: 3",0
"Cu: 1, Pd: 1","elem_1377: 1, elem_8322: 1",1
"Cu: 1, Pt: 1, O: 2","elem_1377: 1, elem_4859: 1, elem_9902: 2",1
"Cu: 1, Sb: 1, Pb: 1, S: 3","elem_1377: 1, elem_3476: 1, elem_5427: 1, elem_9062: 3",0
"Cu: 1, Sb: 1, S: 2","elem_1377: 1, elem_3476: 1, elem_9062: 2",0
"Cu: 1, Sb: 1, Se: 2","elem_1377: 1, elem_3476: 1, elem_7611: 2",0
"Cu: 1, Se: 1, O: 3","elem_1377: 1, elem_7611: 1, elem_9902: 3",1
"Dy: 1, Al: 8, Cu: 4","elem_5122: 1, elem_3486: 8, elem_1377: 4",1
"Dy: 1, Co: 2, Ge: 2","elem_5122: 1, elem_9394: 2, elem_6419: 2",1
"Dy: 1, Cu: 3, Se: 3","elem_5122: 1, elem_1377: 3, elem_7611: 3",0
"Dy: 1, Cu: 2, Si: 2","elem_5122: 1, elem_1377: 2, elem_1995: 2",1
"Dy: 1, Cu: 3, Te: 3","elem_5122: 1, elem_1377: 3, elem_4345: 3",0
"Dy: 1, Ge: 2, Ru: 2","elem_5122: 1, elem_6419: 2, elem_9197: 2",1
"Dy: 1, In: 3, S: 6","elem_5122: 1, elem_2476: 3, elem_9062: 6",0
"Dy: 12, C: 6, I: 17","elem_5122: 12, elem_2375: 6, elem_7655: 17",1
"Dy: 12, Co: 7","elem_5122: 12, elem_9394: 7",1
"Dy: 1, Te: 1.4","elem_5122: 1, elem_4345: 1.4",0
"Dy: 1, Te: 1.45","elem_5122: 1, elem_4345: 1.45",0
"Dy: 1, Te: 1.7","elem_5122: 1, elem_4345: 1.7",0
"Dy: 2, Ge: 3, Pt: 9","elem_5122: 2, elem_6419: 3, elem_4859: 9",1
"Dy: 2, Mo: 3, O: 12","elem_5122: 2, elem_3373: 3, elem_9902: 12",0
"Dy: 2, Al: 1, Co: 2","elem_5122: 2, elem_3486: 1, elem_9394: 2",1
"Dy: 2, C: 1","elem_5122: 2, elem_2375: 1",1
"Dy: 2, Cd: 1, Pd: 2","elem_5122: 2, elem_1400: 1, elem_8322: 2",1
"Dy: 2, Cu: 1, Os: 1","elem_5122: 2, elem_1377: 1, elem_4043: 1",1
"Dy: 2, Mg: 1, In: 1","elem_5122: 2, elem_7398: 1, elem_2476: 1",1
"Dy: 2, Mg: 1, Tl: 1","elem_5122: 2, elem_7398: 1, elem_2582: 1",1
"Dy: 2, Ni: 12, P: 7","elem_5122: 2, elem_7611: 12, elem_4874: 7",1
"Dy: 2, O: 3","elem_5122: 2, elem_9902: 3",0
"Dy: 2, S: 3","elem_5122: 2, elem_9062: 3",0
"Dy: 2, Sn: 5","elem_5122: 2, elem_8076: 5",1
"Dy: 2, Te: 3","elem_5122: 2, elem_4345: 3",0
"Dy: 2, Ti: 3, Si: 4","elem_5122: 2, elem_7235: 3, elem_1995: 4",1
"Dy: 2, Tl: 1, Cd: 1","elem_5122: 2, elem_2582: 1, elem_1400: 1",1
"Dy: 2, Zn: 1, In: 1","elem_5122: 2, elem_7038: 1, elem_2476: 1",1
"Dy: 3, Cu: 4, Ge: 4","elem_5122: 3, elem_1377: 4, elem_6419: 4",1
"Dy: 3, Al: 0.5, Si: 1, S: 7","elem_5122: 3, elem_3486: 0.5, elem_1995: 1, elem_9062: 7",0
"Dy: 3, Ga: 1","elem_5122: 3, elem_6849: 1",1
"Dy: 3, Ga: 1, S: 6","elem_5122: 3, elem_6849: 1, elem_9062: 6",0
"Dy: 3, In: 1, C: 1","elem_5122: 3, elem_2476: 1, elem_2375: 1",1
"Dy: 3, Mn: 1, B: 7","elem_5122: 3, elem_1223: 1, elem_8033: 7",1
"Dy: 4, Cd: 1, Rh: 1","elem_5122: 4, elem_1400: 1, elem_6928: 1",1
"Dy: 4, Ga: 1, Sb: 1, S: 9","elem_5122: 4, elem_6849: 1, elem_3476: 1, elem_9062: 9",0
"Dy: 4, Sb: 3","elem_5122: 4, elem_3476: 3",1
"Dy: 4, Te: 3, S: 4","elem_5122: 4, elem_4345: 3, elem_9062: 4",0
"Dy: 5, Pb: 3","elem_5122: 5, elem_5427: 3",1
"Dy: 5, Sn: 3","elem_5122: 5, elem_8076: 3",1
"Dy: 6, Fe: 1, Te: 2","elem_5122: 6, elem_7694: 1, elem_4345: 2",1
"Dy: 7, In: 1, Co: 4, Ge: 12","elem_5122: 7, elem_2476: 1, elem_9394: 4, elem_6419: 12",1
"Dy: 1, Ag: 1","elem_5122: 1, elem_3063: 1",1
"Dy: 1, Ag: 1, Ge: 1","elem_5122: 1, elem_3063: 1, elem_6419: 1",1
"Dy: 1, Ag: 1, Hg: 2","elem_5122: 1, elem_3063: 1, elem_7286: 2",1
"Dy: 1, As: 1","elem_5122: 1, elem_2057: 1",0
"Dy: 1, B: 2, Rh: 2, C: 1","elem_5122: 1, elem_8033: 2, elem_6928: 2, elem_2375: 1",1
"Dy: 1, B: 6","elem_5122: 1, elem_8033: 6",0
"Dy: 1, B: 1, Pd: 3","elem_5122: 1, elem_8033: 1, elem_8322: 3",1
"Dy: 1, Bi: 1, Pd: 1","elem_5122: 1, elem_9183: 1, elem_8322: 1",1
"Dy: 1, Bi: 1, Pt: 1","elem_5122: 1, elem_9183: 1, elem_4859: 1",1
"Dy: 1, Cd: 2","elem_5122: 1, elem_1400: 2",1
"Dy: 1, Co: 1, Si: 2","elem_5122: 1, elem_9394: 1, elem_1995: 2",1
"Dy: 1, Fe: 1, Si: 1","elem_5122: 1, elem_7694: 1, elem_1995: 1",1
"Dy: 1, Ge: 1","elem_5122: 1, elem_6419: 1",1
"Dy: 1, In: 1, Au: 1","elem_5122: 1, elem_2476: 1, elem_4442: 1",1
"Dy: 1, In: 1, Cu: 2","elem_5122: 1, elem_2476: 1, elem_1377: 2",1
"Dy: 1, In: 1, Pt: 2","elem_5122: 1, elem_2476: 1, elem_4859: 2",1
"Dy: 1, Ir: 2","elem_5122: 1, elem_7311: 2",1
"Dy: 1, Mn: 2","elem_5122: 1, elem_1223: 2",1
"Dy: 1, N: 1","elem_5122: 1, elem_4922: 1",0
"Dy: 1, Ni: 1, Ge: 2","elem_5122: 1, elem_7611: 1, elem_6419: 2",1
"Dy: 1, Ni: 1, Sn: 1","elem_5122: 1, elem_7611: 1, elem_8076: 1",1
"Dy: 1, P: 1, O: 4","elem_5122: 1, elem_4874: 1, elem_9902: 4",0
"Dy: 1, Rh: 1","elem_5122: 1, elem_6928: 1",1
"Dy: 1, S: 2","elem_5122: 1, elem_9062: 2",1
"Dy: 1, Si: 1, Ir: 1","elem_5122: 1, elem_1995: 1, elem_7311: 1",1
"Dy: 1, Sn: 3","elem_5122: 1, elem_8076: 3",1
"Dy: 1, Sn: 1, Ru: 2","elem_5122: 1, elem_8076: 1, elem_9197: 2",1
"Dy: 1, Y: 1, Ag: 2","elem_5122: 1, elem_3272: 1, elem_3063: 2",1
"Dy: 1, Zn: 1, Ga: 1","elem_5122: 1, elem_7038: 1, elem_6849: 1",1
"Dy: 1, Zn: 1, Rh: 2","elem_5122: 1, elem_7038: 1, elem_6928: 2",1
"Dy: 1, Zr: 1, Ru: 2","elem_5122: 1, elem_5500: 1, elem_9197: 2",1
"Dy: 1, Zr: 1, Sb: 1","elem_5122: 1, elem_5500: 1, elem_3476: 1",1
"Er: 1, Al: 20, Cr: 2","elem_1966: 1, elem_3486: 20, elem_2802: 2",1
"Er: 1, Cr: 2, Si: 2","elem_1966: 1, elem_2802: 2, elem_1995: 2",1
"Er: 1, Cu: 2, Ge: 2","elem_1966: 1, elem_1377: 2, elem_6419: 2",1
"Er: 1, Cu: 3, Te: 3","elem_1966: 1, elem_1377: 3, elem_4345: 3",0
"Er: 1, In: 3, S: 6","elem_1966: 1, elem_2476: 3, elem_9062: 6",0
"Er: 1, Re: 2, O: 8","elem_1966: 1, elem_3031: 2, elem_9902: 8",1
"Er: 1, Si: 2, Pd: 2","elem_1966: 1, elem_1995: 2, elem_8322: 2",1
"Er: 2, Ga: 9, Co: 3","elem_1966: 2, elem_6849: 9, elem_9394: 3",1
"Er: 2, Mo: 3, O: 12","elem_1966: 2, elem_3373: 3, elem_9902: 12",0
"Er: 2, C: 3","elem_1966: 2, elem_2375: 3",1
"Er: 2, Fe: 14, B: 1","elem_1966: 2, elem_7694: 14, elem_8033: 1",1
"Er: 2, Mg: 3, Ru: 1","elem_1966: 2, elem_7398: 3, elem_9197: 1",1
"Er: 2, Mn: 1, C: 4","elem_1966: 2, elem_1223: 1, elem_2375: 4",1
"Er: 2, O: 3","elem_1966: 2, elem_9902: 3",0
"Er: 2, Se: 3","elem_1966: 2, elem_7611: 3",0
"Er: 2, Sn: 1, Au: 2","elem_1966: 2, elem_8076: 1, elem_4442: 2",1
"Er: 2, Te: 3","elem_1966: 2, elem_4345: 3",0
"Er: 3, Al: 3, Ni: 1, Ge: 2","elem_1966: 3, elem_3486: 3, elem_7611: 1, elem_6419: 2",1
"Er: 3, Sn: 1, C: 1","elem_1966: 3, elem_8076: 1, elem_2375: 1",1
"Er: 3, Te: 4","elem_1966: 3, elem_4345: 4",0
"Er: 4, Ni: 1, B: 13","elem_1966: 4, elem_7611: 1, elem_8033: 13",1
"Er: 5, Bi: 3","elem_1966: 5, elem_9183: 3",1
"Er: 5, Ni: 1, Pb: 3","elem_1966: 5, elem_7611: 1, elem_5427: 3",1
"Er: 5, Si: 3","elem_1966: 5, elem_1995: 3",1
"Er: 6, Mn: 1, Bi: 2","elem_1966: 6, elem_1223: 1, elem_9183: 2",1
"Er: 1, Ag: 1, Sn: 1","elem_1966: 1, elem_3063: 1, elem_8076: 1",1
"Er: 1, Al: 9, Fe: 4, Si: 6","elem_1966: 1, elem_3486: 9, elem_7694: 4, elem_1995: 6",1
"Er: 1, Al: 1, Ge: 1","elem_1966: 1, elem_3486: 1, elem_6419: 1",1
"Er: 1, B: 2, Ir: 3","elem_1966: 1, elem_8033: 2, elem_7311: 3",1
"Er: 1, B: 2, Ru: 3","elem_1966: 1, elem_8033: 2, elem_9197: 3",1
"Er: 1, B: 6","elem_1966: 1, elem_8033: 6",0
"Er: 1, B: 1, Pd: 3","elem_1966: 1, elem_8033: 1, elem_8322: 3",1
"Er: 1, Bi: 1, W: 2, O: 9","elem_1966: 1, elem_9183: 1, elem_7486: 2, elem_9902: 9",0
"Er: 1, Cu: 1","elem_1966: 1, elem_1377: 1",1
"Er: 1, Cu: 1, Pb: 1","elem_1966: 1, elem_1377: 1, elem_5427: 1",1
"Er: 1, Fe: 1, C: 2","elem_1966: 1, elem_7694: 1, elem_2375: 2",1
"Er: 1, Hg: 2","elem_1966: 1, elem_7286: 2",1
"Er: 1, Lu: 3","elem_1966: 1, elem_2196: 3",1
"Er: 1, Mg: 2","elem_1966: 1, elem_7398: 2",1
"Er: 1, N: 1","elem_1966: 1, elem_4922: 1",0
"Er: 1, Ni: 4, Au: 1","elem_1966: 1, elem_7611: 4, elem_4442: 1",1
"Er: 1, Ni: 4, B: 1","elem_1966: 1, elem_7611: 4, elem_8033: 1",1
"Er: 1, Ni: 1, Sn: 1","elem_1966: 1, elem_7611: 1, elem_8076: 1",1
"Er: 1, Pb: 1, Au: 1","elem_1966: 1, elem_5427: 1, elem_4442: 1",1
"Er: 1, Ru: 3","elem_1966: 1, elem_9197: 3",1
"Er: 1, Se: 2","elem_1966: 1, elem_7611: 2",0
"Er: 1, Si: 1, Pd: 1","elem_1966: 1, elem_1995: 1, elem_8322: 1",1
"Er: 1, Sn: 1, Au: 1","elem_1966: 1, elem_8076: 1, elem_4442: 1",1
"Er: 1, Te: 1","elem_1966: 1, elem_4345: 1",0
"Er: 1, Tl: 1, Pd: 1","elem_1966: 1, elem_2582: 1, elem_8322: 1",1
"Er: 1, Zn: 12","elem_1966: 1, elem_7038: 12",1
"Eu: 1, Al: 2, Au: 2","elem_2806: 1, elem_3486: 2, elem_4442: 2",1
"Eu: 1, As: 2, Pd: 2","elem_2806: 1, elem_2057: 2, elem_8322: 2",1
"Eu: 1, Bi: 2, Se: 4","elem_2806: 1, elem_9183: 2, elem_7611: 4",0
"Eu: 1, Bi: 2, Te: 4","elem_2806: 1, elem_9183: 2, elem_4345: 4",0
"Eu: 1, Cd: 2, Sb: 2","elem_2806: 1, elem_1400: 2, elem_3476: 2",1
"Eu: 1, Cl: 3, O: 12","elem_2806: 1, elem_7530: 3, elem_9902: 12",1
"Eu: 1, Dy: 2, Se: 4","elem_2806: 1, elem_5122: 2, elem_7611: 4",0
"Eu: 1, Er: 2, Se: 4","elem_2806: 1, elem_1966: 2, elem_7611: 4",0
"Eu: 1, Fe: 2, Si: 2","elem_2806: 1, elem_7694: 2, elem_1995: 2",1
"Eu: 1, Ga: 2, S: 4","elem_2806: 1, elem_6849: 2, elem_9062: 4",0
"Eu: 1, Ga: 2, Se: 4","elem_2806: 1, elem_6849: 2, elem_7611: 4",0
"Eu: 1, Ga: 2, Te: 4","elem_2806: 1, elem_6849: 2, elem_4345: 4",0
"Eu: 1, Ho: 2, Se: 4","elem_2806: 1, elem_9827: 2, elem_7611: 4",0
"Eu: 1, In: 2, As: 2","elem_2806: 1, elem_2476: 2, elem_2057: 2",1
"Eu: 1, In: 2, S: 4","elem_2806: 1, elem_2476: 2, elem_9062: 4",0
"Eu: 1, In: 2, Se: 4","elem_2806: 1, elem_2476: 2, elem_7611: 4",0
"Eu: 1, In: 2, Te: 4","elem_2806: 1, elem_2476: 2, elem_4345: 4",0
"Eu: 1, Lu: 2, Se: 4","elem_2806: 1, elem_2196: 2, elem_7611: 4",0
"Eu: 1, Mg: 2, Bi: 2","elem_2806: 1, elem_7398: 2, elem_9183: 2",1
"Eu: 1, Mn: 2, Ge: 2","elem_2806: 1, elem_1223: 2, elem_6419: 2",1
"Eu: 1, Ni: 12, B: 6","elem_2806: 1, elem_7611: 12, elem_8033: 6",1
"Eu: 1, Ni: 2, As: 2","elem_2806: 1, elem_7611: 2, elem_2057: 2",1
"Eu: 1, P: 2, Os: 2","elem_2806: 1, elem_4874: 2, elem_4043: 2",1
"Eu: 1, Sb: 2, S: 4","elem_2806: 1, elem_3476: 2, elem_9062: 4",0
"Eu: 1, Sb: 2, Se: 4","elem_2806: 1, elem_3476: 2, elem_7611: 4",0
"Eu: 1, Tm: 2, Se: 4","elem_2806: 1, elem_6361: 2, elem_7611: 4",0
"Eu: 1, Zn: 2, Ge: 2","elem_2806: 1, elem_7038: 2, elem_6419: 2",1
"Eu: 1, Zn: 2, Si: 2","elem_2806: 1, elem_7038: 2, elem_1995: 2",1
"Eu: 1.75, Ag: 0.5, Ge: 1, S: 4","elem_2806: 1.75, elem_3063: 0.5, elem_6419: 1, elem_9062: 4",0
"Eu: 1.83, Ta: 15, O: 32","elem_2806: 1.83, elem_7584: 15, elem_9902: 32",0
"Eu: 2, Ga: 9, Rh: 3","elem_2806: 2, elem_6849: 9, elem_6928: 3",1
"Eu: 2, C: 1, N: 2, O: 2","elem_2806: 2, elem_2375: 1, elem_4922: 2, elem_9902: 2",1
"Eu: 2, Cu: 1, O: 4","elem_2806: 2, elem_1377: 1, elem_9902: 4",1
"Eu: 2, Ga: 2, Ge: 1, S: 7","elem_2806: 2, elem_6849: 2, elem_6419: 1, elem_9062: 7",0
"Eu: 2, Ge: 1, B: 2, O: 8","elem_2806: 2, elem_6419: 1, elem_8033: 2, elem_9902: 8",1
"Eu: 2, O: 3","elem_2806: 2, elem_9902: 3",0
"Eu: 2, P: 1, Br: 1","elem_2806: 2, elem_4874: 1, elem_1698: 1",1
"Eu: 2, Re: 1, O: 5","elem_2806: 2, elem_3031: 1, elem_9902: 5",1
"Eu: 2, Se: 3","elem_2806: 2, elem_7611: 3",0
"Eu: 2, Sn: 1, Se: 5","elem_2806: 2, elem_8076: 1, elem_7611: 5",0
"Eu: 2, Te: 1, O: 2","elem_2806: 2, elem_4345: 1, elem_9902: 2",1
"Eu: 3, In: 2, P: 4","elem_2806: 3, elem_2476: 2, elem_4874: 4",0
"Eu: 3, As: 2","elem_2806: 3, elem_2057: 2",0
"Eu: 3, B: 1, W: 1, O: 9","elem_2806: 3, elem_8033: 1, elem_7486: 1, elem_9902: 9",1
"Eu: 3, Bi: 4, S: 9","elem_2806: 3, elem_9183: 4, elem_9062: 9",0
"Eu: 3, P: 2","elem_2806: 3, elem_4874: 2",0
"Eu: 3, S: 4","elem_2806: 3, elem_9062: 4",0
"Eu: 3, Sb: 4, S: 9","elem_2806: 3, elem_3476: 4, elem_9062: 9",0
"Eu: 3, Sb: 4, Se: 9","elem_2806: 3, elem_3476: 4, elem_7611: 9",0
"Eu: 3, Se: 4","elem_2806: 3, elem_7611: 4",0
"Eu: 3, Sn: 1","elem_2806: 3, elem_8076: 1",1
"Eu: 4, Te: 7","elem_2806: 4, elem_4345: 7",0
"Eu: 7, Ga: 6, Sb: 8","elem_2806: 7, elem_6849: 6, elem_3476: 8",0
"Eu: 1, Ag: 1, Sb: 1","elem_2806: 1, elem_3063: 1, elem_3476: 1",1
"Eu: 1, Al: 2, O: 4","elem_2806: 1, elem_3486: 2, elem_9902: 4",0
"Eu: 1, Al: 1, O: 3","elem_2806: 1, elem_3486: 1, elem_9902: 3",1
"Eu: 1, B: 1, Sb: 2, O: 8","elem_2806: 1, elem_8033: 1, elem_3476: 2, elem_9902: 8",0
"Eu: 1, Bi: 3","elem_2806: 1, elem_9183: 3",1
"Eu: 1, Bi: 1, W: 2, O: 9","elem_2806: 1, elem_9183: 1, elem_7486: 2, elem_9902: 9",0
"Eu: 1, Cd: 11","elem_2806: 1, elem_1400: 11",1
"Eu: 1, Cl: 1, O: 1","elem_2806: 1, elem_7530: 1, elem_9902: 1",1
"Eu: 1, Co: 8, P: 5","elem_2806: 1, elem_9394: 8, elem_4874: 5",1
"Eu: 1, Cu: 2, Sn: 1, S: 4","elem_2806: 1, elem_1377: 2, elem_8076: 1, elem_9062: 4",0
"Eu: 1, Cu: 9, Sn: 4","elem_2806: 1, elem_1377: 9, elem_8076: 4",1
"Eu: 1, Cu: 1, Se: 1, F: 1","elem_2806: 1, elem_1377: 1, elem_7611: 1, elem_6130: 1",1
"Eu: 1, Cu: 1, Se: 1, O: 1","elem_2806: 1, elem_1377: 1, elem_7611: 1, elem_9902: 1",1
"Eu: 1, F: 3","elem_2806: 1, elem_6130: 3",1
"Eu: 1, Ge: 3, Pt: 1","elem_2806: 1, elem_6419: 3, elem_4859: 1",1
"Eu: 1, H: 2","elem_2806: 1, elem_9158: 2",0
"Eu: 1, In: 2, Ge: 4, Ir: 4","elem_2806: 1, elem_2476: 2, elem_6419: 4, elem_7311: 4",0
"Eu: 1, N: 1","elem_2806: 1, elem_4922: 1",0
"Eu: 1, Ni: 1, Ge: 3","elem_2806: 1, elem_7611: 1, elem_6419: 3",1
"Eu: 1, O: 1","elem_2806: 1, elem_9902: 1",0
"Eu: 1, P: 1, Pt: 1","elem_2806: 1, elem_4874: 1, elem_4859: 1",1
"Eu: 1, Pd: 1","elem_2806: 1, elem_8322: 1",1
"Eu: 1, Rh: 1, O: 3","elem_2806: 1, elem_6928: 1, elem_9902: 3",1
"Eu: 1, S: 1","elem_2806: 1, elem_9062: 1",0
"Eu: 1, Sb: 4, S: 7","elem_2806: 1, elem_3476: 4, elem_9062: 7",0
"Eu: 1, Sb: 4, Te: 7","elem_2806: 1, elem_3476: 4, elem_4345: 7",0
"Eu: 1, Sb: 1, O: 3","elem_2806: 1, elem_3476: 1, elem_9902: 3",1
"Eu: 1, Sc: 1, O: 3","elem_2806: 1, elem_1684: 1, elem_9902: 3",1
"Eu: 1, Se: 1","elem_2806: 1, elem_7611: 1",0
"Eu: 1, Se: 1, Cl: 1, O: 3","elem_2806: 1, elem_7611: 1, elem_7530: 1, elem_9902: 3",1
"Eu: 1, Sn: 3","elem_2806: 1, elem_8076: 3",1
"Eu: 1, Sn: 1, Au: 2","elem_2806: 1, elem_8076: 1, elem_4442: 2",1
"Eu: 1, Sn: 1, O: 3","elem_2806: 1, elem_8076: 1, elem_9902: 3",1
"Eu: 1, Sn: 1, Te: 2","elem_2806: 1, elem_8076: 1, elem_4345: 2",0
"Eu: 1, Te: 1","elem_2806: 1, elem_4345: 1",0
"Eu: 1, Ti: 1, Cl: 1, O: 3","elem_2806: 1, elem_7235: 1, elem_7530: 1, elem_9902: 3",1
"Eu: 1, Ti: 1, O: 3","elem_2806: 1, elem_7235: 1, elem_9902: 3",1
"Eu: 1, Tl: 1","elem_2806: 1, elem_2582: 1",1
"Eu: 1, V: 1, O: 4","elem_2806: 1, elem_4182: 1, elem_9902: 4",0
"Eu: 1, Zn: 1","elem_2806: 1, elem_7038: 1",1
"Fe: 1, Pd: 2, Se: 2","elem_7694: 1, elem_8322: 2, elem_7611: 2",1
"Fe: 10, O: 9, F: 11","elem_7694: 10, elem_9902: 9, elem_6130: 11",1
"Fe: 12, As: 5","elem_7694: 12, elem_2057: 5",1
"Fe: 2, B: 1, P: 3, O: 12","elem_7694: 2, elem_8033: 1, elem_4874: 3, elem_9902: 12",0
"Fe: 2, Cu: 1, P: 3, O: 12","elem_7694: 2, elem_1377: 1, elem_4874: 3, elem_9902: 12",1
