text_name,text_anon,label
Protein A: BYSL ; Protein B: IMP4,Protein A: PROT_2434 ; Protein B: PROT_2392,1
Protein A: MTIF2 ; Protein B: RPL35,Protein A: PROT_0728 ; Protein B: PROT_2357,1
Protein A: HRAS ; Protein B: PIK3CD,Protein A: PROT_0626 ; Protein B: PROT_0573,1
Protein A: RPS3A ; Protein B: RPS18,Protein A: PROT_1403 ; Protein B: PROT_0518,1
Protein A: LPCAT2 ; Protein B: MAFF,Protein A: PROT_1682 ; Protein B: PROT_1533,0
Protein A: TADA2A ; Protein B: MED8,Protein A: PROT_0864 ; Protein B: PROT_0614,0
Protein A: RBBP7 ; Protein B: RILPL1,Protein A: PROT_0050 ; Protein B: PROT_2997,0
Protein A: POLR2K ; Protein B: TBP,Protein A: PROT_3145 ; Protein B: PROT_2097,1
Protein A: PATJ ; Protein B: LIN7A,Protein A: PROT_2501 ; Protein B: PROT_2784,1
Protein A: SENP3 ; Protein B: LAS1L,Protein A: PROT_0242 ; Protein B: PROT_0471,1
Protein A: RRM2B ; Protein B: PKLR,Protein A: PROT_0231 ; Protein B: PROT_0862,1
Protein A: MED10 ; Protein B: ERCC2,Protein A: PROT_2064 ; Protein B: PROT_0159,1
Protein A: CALML5 ; Protein B: MSL3,Protein A: PROT_0775 ; Protein B: PROT_0881,0
Protein A: CIITA ; Protein B: NFYB,Protein A: PROT_1178 ; Protein B: PROT_3384,1
Protein A: EIF3K ; Protein B: RPS4X,Protein A: PROT_0477 ; Protein B: PROT_1048,1
Protein A: MRPS34 ; Protein B: ADK,Protein A: PROT_0742 ; Protein B: PROT_3269,0
Protein A: CTNNB1 ; Protein B: SF3B1,Protein A: PROT_0581 ; Protein B: PROT_1519,0
Protein A: TXN ; Protein B: GSR,Protein A: PROT_3198 ; Protein B: PROT_2198,1
Protein A: RPS26 ; Protein B: FAAP100,Protein A: PROT_1015 ; Protein B: PROT_1170,0
Protein A: PPP2CA ; Protein B: INTS1,Protein A: PROT_1534 ; Protein B: PROT_3440,1
Protein A: THOC3 ; Protein B: H2AX,Protein A: PROT_2832 ; Protein B: PROT_3040,0
Protein A: AATF ; Protein B: NCOA6,Protein A: PROT_3192 ; Protein B: PROT_3427,1
Protein A: UQCR10 ; Protein B: SDHD,Protein A: PROT_2099 ; Protein B: PROT_3304,1
Protein A: AMTN ; Protein B: AMELX,Protein A: PROT_1897 ; Protein B: PROT_1893,1
Protein A: FOPNL ; Protein B: ENSP00000387111,Protein A: PROT_3461 ; Protein B: PROT_1721,0
Protein A: RNF2 ; Protein B: NCL,Protein A: PROT_1836 ; Protein B: PROT_0121,0
Protein A: VWA7 ; Protein B: VARS1,Protein A: PROT_2631 ; Protein B: PROT_1333,1
Protein A: PEX19 ; Protein B: PEX11A,Protein A: PROT_2522 ; Protein B: PROT_0952,1
Protein A: SNRPF ; Protein B: DDX20,Protein A: PROT_1383 ; Protein B: PROT_2251,1
Protein A: CENPX ; Protein B: MCM4,Protein A: PROT_0257 ; Protein B: PROT_0672,0
Protein A: APOA5 ; Protein B: PEX3,Protein A: PROT_1780 ; Protein B: PROT_0113,1
Protein A: CDKN1B ; Protein B: CDK2,Protein A: PROT_1708 ; Protein B: PROT_1570,1
Protein A: PDE1A ; Protein B: CALML4,Protein A: PROT_3089 ; Protein B: PROT_0753,1
Protein A: MYH1 ; Protein B: CCDC115,Protein A: PROT_0991 ; Protein B: PROT_0513,0
Protein A: IMPDH2 ; Protein B: RPS27A,Protein A: PROT_1637 ; Protein B: PROT_1145,0
Protein A: ADCY1 ; Protein B: TBL1X,Protein A: PROT_1607 ; Protein B: PROT_2816,0
Protein A: NDUFAF2 ; Protein B: SUV39H2,Protein A: PROT_1564 ; Protein B: PROT_2601,0
Protein A: CACNG4 ; Protein B: SIN3B,Protein A: PROT_2448 ; Protein B: PROT_1219,0
Protein A: EIF6 ; Protein B: RPLP0,Protein A: PROT_1909 ; Protein B: PROT_1472,1
Protein A: ADH1A ; Protein B: CYP27C1,Protein A: PROT_1712 ; Protein B: PROT_1783,1
Protein A: MT-ND3 ; Protein B: NDUFB2,Protein A: PROT_0008 ; Protein B: PROT_0204,1
Protein A: TMPRSS2 ; Protein B: SEC22B,Protein A: PROT_1927 ; Protein B: PROT_2193,0
Protein A: HSPA5 ; Protein B: ATF6,Protein A: PROT_1545 ; Protein B: PROT_2562,1
Protein A: CXCL17 ; Protein B: CXCL10,Protein A: PROT_3236 ; Protein B: PROT_1955,1
Protein A: AKT1S1 ; Protein B: NFKBIB,Protein A: PROT_2720 ; Protein B: PROT_2732,0
Protein A: KAT8 ; Protein B: IGF1,Protein A: PROT_0696 ; Protein B: PROT_0781,0
Protein A: EEF2 ; Protein B: H2BC11,Protein A: PROT_1651 ; Protein B: PROT_0019,0
Protein A: MTA1 ; Protein B: MTA3,Protein A: PROT_1109 ; Protein B: PROT_1908,1
Protein A: BMS1 ; Protein B: DHX37,Protein A: PROT_2248 ; Protein B: PROT_2242,1
Protein A: TAF7 ; Protein B: MGA,Protein A: PROT_1264 ; Protein B: PROT_2086,1
Protein A: GNAT2 ; Protein B: RGS9,Protein A: PROT_2921 ; Protein B: PROT_3116,1
Protein A: RPL27A ; Protein B: HLA-B,Protein A: PROT_2536 ; Protein B: PROT_2918,0
Protein A: RAB5C ; Protein B: GLB1,Protein A: PROT_0429 ; Protein B: PROT_1666,0
Protein A: AGT ; Protein B: STARD3,Protein A: PROT_2126 ; Protein B: PROT_0320,0
Protein A: XDH ; Protein B: BTNL9,Protein A: PROT_1209 ; Protein B: PROT_0847,1
Protein A: UQCRH ; Protein B: AGO2,Protein A: PROT_1962 ; Protein B: PROT_0249,0
Protein A: RPS26 ; Protein B: GUK1,Protein A: PROT_1015 ; Protein B: PROT_2238,0
Protein A: SNAP25 ; Protein B: STX5,Protein A: PROT_1423 ; Protein B: PROT_0503,1
Protein A: MAML1 ; Protein B: RBBP6,Protein A: PROT_1968 ; Protein B: PROT_0580,0
Protein A: CASP5 ; Protein B: TUFM,Protein A: PROT_2870 ; Protein B: PROT_0933,0
Protein A: MRPS25 ; Protein B: MRPS27,Protein A: PROT_1453 ; Protein B: PROT_0999,1
Protein A: PSMC3 ; Protein B: TAF11,Protein A: PROT_0035 ; Protein B: PROT_2957,0
Protein A: H2AB3 ; Protein B: NUP37,Protein A: PROT_1905 ; Protein B: PROT_1702,0
Protein A: RPS20 ; Protein B: TPT1,Protein A: PROT_3101 ; Protein B: PROT_1577,1
Protein A: H3C10 ; Protein B: RPS3,Protein A: PROT_0935 ; Protein B: PROT_2362,0
Protein A: ITGA11 ; Protein B: ITGB6,Protein A: PROT_0119 ; Protein B: PROT_0539,1
Protein A: TP53 ; Protein B: MAPK11,Protein A: PROT_1150 ; Protein B: PROT_0394,1
Protein A: SNCA ; Protein B: CALML3,Protein A: PROT_2658 ; Protein B: PROT_2440,1
Protein A: HNRNPM ; Protein B: ATP5F1D,Protein A: PROT_2515 ; Protein B: PROT_1477,0
Protein A: CXCL5 ; Protein B: VAV2,Protein A: PROT_2262 ; Protein B: PROT_2675,0
Protein A: BMI1 ; Protein B: NUP133,Protein A: PROT_2712 ; Protein B: PROT_2701,0
Protein A: BRD8 ; Protein B: CHEK1,Protein A: PROT_3189 ; Protein B: PROT_2820,0
Protein A: PRKACG ; Protein B: SNRNP48,Protein A: PROT_1409 ; Protein B: PROT_0304,0
Protein A: RPS27 ; Protein B: EIF2S3,Protein A: PROT_1704 ; Protein B: PROT_2854,1
Protein A: BPI ; Protein B: CTSG,Protein A: PROT_1634 ; Protein B: PROT_3397,1
Protein A: RPL10 ; Protein B: RPP21,Protein A: PROT_2108 ; Protein B: PROT_1302,0
Protein A: RPS17 ; Protein B: MRPL28,Protein A: PROT_2364 ; Protein B: PROT_2397,0
Protein A: RPS11 ; Protein B: MRPL3,Protein A: PROT_2141 ; Protein B: PROT_2085,1
Protein A: RPL8 ; Protein B: DCAF10,Protein A: PROT_3383 ; Protein B: PROT_2530,0
Protein A: TAF9 ; Protein B: RPL32,Protein A: PROT_1368 ; Protein B: PROT_2693,0
Protein A: HK2 ; Protein B: MRPS22,Protein A: PROT_1966 ; Protein B: PROT_0971,0
Protein A: CISH ; Protein B: RNF7,Protein A: PROT_0691 ; Protein B: PROT_0592,1
Protein A: KAT2B ; Protein B: NCOR2,Protein A: PROT_0039 ; Protein B: PROT_1919,1
Protein A: RPS10-NUDT3 ; Protein B: RPL26,Protein A: PROT_1969 ; Protein B: PROT_3409,1
Protein A: MYLK4 ; Protein B: RIN3,Protein A: PROT_0154 ; Protein B: PROT_2129,0
Protein A: RPS23 ; Protein B: FANCE,Protein A: PROT_0605 ; Protein B: PROT_1405,1
Protein A: UCHL5 ; Protein B: CCR3,Protein A: PROT_0828 ; Protein B: PROT_2134,0
Protein A: RPL36 ; Protein B: RPL32,Protein A: PROT_0655 ; Protein B: PROT_2693,1
Protein A: CXorf66 ; Protein B: CHAC2,Protein A: PROT_2257 ; Protein B: PROT_1254,0
Protein A: TAF10 ; Protein B: GTF2H5,Protein A: PROT_1656 ; Protein B: PROT_3340,1
Protein A: FLT3LG ; Protein B: RPL31,Protein A: PROT_1670 ; Protein B: PROT_0051,1
Protein A: CTNNB1 ; Protein B: CBL,Protein A: PROT_0581 ; Protein B: PROT_1983,1
Protein A: EPHA10 ; Protein B: EFNA1,Protein A: PROT_1498 ; Protein B: PROT_1949,1
Protein A: NOS3 ; Protein B: AKT3,Protein A: PROT_2804 ; Protein B: PROT_2739,1
Protein A: BSG ; Protein B: ACE2,Protein A: PROT_1699 ; Protein B: PROT_0528,1
Protein A: UQCRB ; Protein B: NDUFB11,Protein A: PROT_2384 ; Protein B: PROT_1741,1
Protein A: RPL26 ; Protein B: CDC5L,Protein A: PROT_3409 ; Protein B: PROT_1888,0
Protein A: PSME4 ; Protein B: PSMB5,Protein A: PROT_1364 ; Protein B: PROT_1040,1
Protein A: CRCP ; Protein B: PRIM1,Protein A: PROT_1592 ; Protein B: PROT_2025,1
Protein A: GPX7 ; Protein B: TXN,Protein A: PROT_0392 ; Protein B: PROT_3198,1
Protein A: EPOP ; Protein B: SHH,Protein A: PROT_2324 ; Protein B: PROT_1177,0
Protein A: RPL13A ; Protein B: RPL21,Protein A: PROT_1828 ; Protein B: PROT_3278,1
Protein A: PRKACG ; Protein B: MRPL37,Protein A: PROT_1409 ; Protein B: PROT_0164,0
Protein A: MTA3 ; Protein B: RPL36,Protein A: PROT_1908 ; Protein B: PROT_0655,0
Protein A: MBOAT1 ; Protein B: PLD1,Protein A: PROT_1372 ; Protein B: PROT_3026,1
Protein A: SRP19 ; Protein B: METTL17,Protein A: PROT_1404 ; Protein B: PROT_2438,0
Protein A: PTPRC ; Protein B: FCGR3B,Protein A: PROT_0850 ; Protein B: PROT_2226,1
Protein A: MUL1 ; Protein B: POLR3K,Protein A: PROT_1763 ; Protein B: PROT_3254,0
Protein A: EPOR ; Protein B: CSF2RB,Protein A: PROT_0293 ; Protein B: PROT_0679,1
Protein A: B4E1Z4_HUMAN ; Protein B: BUD31,Protein A: PROT_2642 ; Protein B: PROT_2843,0
Protein A: WDR61 ; Protein B: CCNT1,Protein A: PROT_0765 ; Protein B: PROT_3251,1
Protein A: TERT ; Protein B: RAC3,Protein A: PROT_3329 ; Protein B: PROT_2217,0
Protein A: ENSP00000498408 ; Protein B: GNAI1,Protein A: PROT_2255 ; Protein B: PROT_2079,0
Protein A: ERCC5 ; Protein B: SESN2,Protein A: PROT_1835 ; Protein B: PROT_3056,0
Protein A: H3C12 ; Protein B: CYP3A5,Protein A: PROT_1596 ; Protein B: PROT_2265,0
Protein A: MRPS16 ; Protein B: HDDC3,Protein A: PROT_0591 ; Protein B: PROT_0128,1
Protein A: PRKG1 ; Protein B: MRPL4,Protein A: PROT_2318 ; Protein B: PROT_0689,0
Protein A: RAP2B ; Protein B: TUBB2B,Protein A: PROT_2159 ; Protein B: PROT_2649,0
Protein A: GNL3L ; Protein B: PA2G4,Protein A: PROT_2628 ; Protein B: PROT_0190,1
Protein A: KCNMA1 ; Protein B: PRKACA,Protein A: PROT_2805 ; Protein B: PROT_1393,1
Protein A: SPEF2 ; Protein B: ADK,Protein A: PROT_2943 ; Protein B: PROT_3269,1
Protein A: B4GALT3 ; Protein B: B3GNT5,Protein A: PROT_0551 ; Protein B: PROT_0711,1
Protein A: POLR1E ; Protein B: ENSP00000387111,Protein A: PROT_1662 ; Protein B: PROT_1721,0
Protein A: ITGAX ; Protein B: TXNDC9,Protein A: PROT_2828 ; Protein B: PROT_3127,0
Protein A: EIF5 ; Protein B: RPS16,Protein A: PROT_1967 ; Protein B: PROT_2421,1
Protein A: FBXO3 ; Protein B: SKP1,Protein A: PROT_0697 ; Protein B: PROT_3155,1
Protein A: AGO2 ; Protein B: POP1,Protein A: PROT_0249 ; Protein B: PROT_0399,1
Protein A: RBM15 ; Protein B: DERL3,Protein A: PROT_3458 ; Protein B: PROT_0888,0
Protein A: CTSL ; Protein B: SLC9A3R2,Protein A: PROT_1878 ; Protein B: PROT_2653,0
Protein A: CRB3 ; Protein B: KAT8,Protein A: PROT_1774 ; Protein B: PROT_0696,0
Protein A: ACO1 ; Protein B: NFS1,Protein A: PROT_1341 ; Protein B: PROT_3013,1
Protein A: MBOAT1 ; Protein B: PLB1,Protein A: PROT_1372 ; Protein B: PROT_1500,1
Protein A: POMT2 ; Protein B: SMG5,Protein A: PROT_1181 ; Protein B: PROT_0936,0
Protein A: ERCC3 ; Protein B: MNAT1,Protein A: PROT_3381 ; Protein B: PROT_2252,1
Protein A: DPP6 ; Protein B: SCN5A,Protein A: PROT_1467 ; Protein B: PROT_2068,1
Protein A: MNT ; Protein B: CCL3L1,Protein A: PROT_1920 ; Protein B: PROT_2120,0
Protein A: COX7C ; Protein B: POLE2,Protein A: PROT_2249 ; Protein B: PROT_3373,0
Protein A: MRPL38 ; Protein B: MRPL21,Protein A: PROT_2742 ; Protein B: PROT_0638,1
Protein A: UBXN4 ; Protein B: UBXN8,Protein A: PROT_2508 ; Protein B: PROT_3387,1
Protein A: KLB ; Protein B: FGF3,Protein A: PROT_0809 ; Protein B: PROT_1582,1
Protein A: KAT7 ; Protein B: BRD1,Protein A: PROT_1402 ; Protein B: PROT_0112,1
Protein A: UTP11 ; Protein B: HEATR1,Protein A: PROT_2220 ; Protein B: PROT_3368,1
Protein A: B4GALT4 ; Protein B: SMN1,Protein A: PROT_1093 ; Protein B: PROT_3277,0
Protein A: MAX ; Protein B: CDH17,Protein A: PROT_2867 ; Protein B: PROT_0074,0
Protein A: NFRKB ; Protein B: BNIP1,Protein A: PROT_2194 ; Protein B: PROT_2579,0
Protein A: CHMP2A ; Protein B: RAB11B,Protein A: PROT_3255 ; Protein B: PROT_2191,0
Protein A: SF3A1 ; Protein B: DDA1,Protein A: PROT_3174 ; Protein B: PROT_2587,0
Protein A: DYNLT1 ; Protein B: DYNC1H1,Protein A: PROT_1725 ; Protein B: PROT_1807,1
Protein A: SIRT2 ; Protein B: ITGA1,Protein A: PROT_2897 ; Protein B: PROT_1730,0
Protein A: BCL2L1 ; Protein B: BNIP3,Protein A: PROT_0671 ; Protein B: PROT_1764,1
Protein A: VPS28 ; Protein B: GAN,Protein A: PROT_2792 ; Protein B: PROT_2343,0
Protein A: IL1RAP ; Protein B: IL36A,Protein A: PROT_3374 ; Protein B: PROT_2018,1
Protein A: MOS ; Protein B: MAP2K1,Protein A: PROT_1324 ; Protein B: PROT_2210,1
Protein A: DAAM2 ; Protein B: DVL1,Protein A: PROT_3313 ; Protein B: PROT_2162,1
Protein A: PAIP1 ; Protein B: EIF4G1,Protein A: PROT_2958 ; Protein B: PROT_0356,1
Protein A: H4C6 ; Protein B: GLI2,Protein A: PROT_2947 ; Protein B: PROT_0255,0
Protein A: MRPL20 ; Protein B: CYC1,Protein A: PROT_0893 ; Protein B: PROT_2581,0
Protein A: MVB12A ; Protein B: APOC1,Protein A: PROT_0206 ; Protein B: PROT_2051,0
Protein A: NXF1 ; Protein B: NCBP2,Protein A: PROT_2664 ; Protein B: PROT_2840,1
Protein A: PPP2CA ; Protein B: MC2R,Protein A: PROT_1534 ; Protein B: PROT_1151,0
Protein A: SF3B4 ; Protein B: GRIK2,Protein A: PROT_3000 ; Protein B: PROT_1773,0
Protein A: H4C3 ; Protein B: CPB2,Protein A: PROT_2521 ; Protein B: PROT_0058,0
Protein A: RRAGD ; Protein B: FNIP1,Protein A: PROT_2174 ; Protein B: PROT_2358,1
Protein A: TSPO ; Protein B: RPL7,Protein A: PROT_2457 ; Protein B: PROT_2591,0
Protein A: PPARGC1B ; Protein B: MRPL13,Protein A: PROT_2408 ; Protein B: PROT_3203,0
Protein A: GNA12 ; Protein B: POLR2C,Protein A: PROT_0749 ; Protein B: PROT_3281,0
Protein A: HNRNPA2B1 ; Protein B: CASP8,Protein A: PROT_0312 ; Protein B: PROT_0982,0
Protein A: RPS6 ; Protein B: RPL18A,Protein A: PROT_0734 ; Protein B: PROT_2292,1
Protein A: ADH6 ; Protein B: TRPV3,Protein A: PROT_2504 ; Protein B: PROT_2450,0
Protein A: DGUOK ; Protein B: MPV17,Protein A: PROT_3417 ; Protein B: PROT_1194,1
Protein A: RAD51AP1 ; Protein B: RAD51,Protein A: PROT_3231 ; Protein B: PROT_2428,1
Protein A: REV3L ; Protein B: CRCP,Protein A: PROT_2093 ; Protein B: PROT_1592,1
Protein A: KCNN4 ; Protein B: KCNN2,Protein A: PROT_1058 ; Protein B: PROT_0566,1
Protein A: RPS15A ; Protein B: ITPA,Protein A: PROT_0034 ; Protein B: PROT_0582,0
Protein A: NUDT16 ; Protein B: ADSS1,Protein A: PROT_2119 ; Protein B: PROT_3352,1
Protein A: TRRAP ; Protein B: TAF9B,Protein A: PROT_3166 ; Protein B: PROT_0555,1
Protein A: PDS5A ; Protein B: CATSPERE,Protein A: PROT_0310 ; Protein B: PROT_3038,0
Protein A: NAA35 ; Protein B: RPS28,Protein A: PROT_1025 ; Protein B: PROT_3365,0
Protein A: PIR ; Protein B: CTF1,Protein A: PROT_3178 ; Protein B: PROT_0445,1
Protein A: CHMP5 ; Protein B: GTPBP3,Protein A: PROT_1800 ; Protein B: PROT_1476,0
Protein A: EDF1 ; Protein B: RPL5,Protein A: PROT_2951 ; Protein B: PROT_0633,1
Protein A: MT-CO1 ; Protein B: POLR2B,Protein A: PROT_2271 ; Protein B: PROT_1419,0
Protein A: HNRNPA0 ; Protein B: HNRNPH1,Protein A: PROT_1249 ; Protein B: PROT_3298,1
Protein A: GABBR2 ; Protein B: MVD,Protein A: PROT_1863 ; Protein B: PROT_2917,0
Protein A: C12orf65 ; Protein B: MRPL9,Protein A: PROT_0408 ; Protein B: PROT_0391,1
Protein A: TRAF3IP1 ; Protein B: PHF5A,Protein A: PROT_1669 ; Protein B: PROT_3319,0
Protein A: B4GALT4 ; Protein B: RPL7A,Protein A: PROT_1093 ; Protein B: PROT_0383,0
Protein A: UQCRQ ; Protein B: NDUFS5,Protein A: PROT_2634 ; Protein B: PROT_2351,1
Protein A: ANO1 ; Protein B: CLCA4,Protein A: PROT_0395 ; Protein B: PROT_0735,1
Protein A: WAS ; Protein B: WIPF2,Protein A: PROT_3012 ; Protein B: PROT_2033,1
Protein A: NDUFB10 ; Protein B: ENSP00000497305,Protein A: PROT_3011 ; Protein B: PROT_1447,1
Protein A: NUP205 ; Protein B: NF2,Protein A: PROT_1441 ; Protein B: PROT_0892,0
Protein A: HTRA2 ; Protein B: BIRC2,Protein A: PROT_3060 ; Protein B: PROT_2971,1
Protein A: RPS27A ; Protein B: OTUB1,Protein A: PROT_1145 ; Protein B: PROT_0839,1
Protein A: TUBB4B ; Protein B: TUBA8,Protein A: PROT_3218 ; Protein B: PROT_2419,1
Protein A: PPARA ; Protein B: HDAC2,Protein A: PROT_1521 ; Protein B: PROT_0844,0
Protein A: TAF4 ; Protein B: WDR5,Protein A: PROT_2149 ; Protein B: PROT_1303,1
Protein A: IKZF4 ; Protein B: PIK3C3,Protein A: PROT_3248 ; Protein B: PROT_2608,0
Protein A: MRPL2 ; Protein B: VPS4B,Protein A: PROT_2069 ; Protein B: PROT_3403,0
Protein A: RAP1B ; Protein B: RGS14,Protein A: PROT_1041 ; Protein B: PROT_0769,1
Protein A: NOP14 ; Protein B: PES1,Protein A: PROT_0964 ; Protein B: PROT_2505,1
Protein A: CCNB2 ; Protein B: BIRC5,Protein A: PROT_0402 ; Protein B: PROT_1092,1
Protein A: PRKACB ; Protein B: BAD,Protein A: PROT_1290 ; Protein B: PROT_1917,1
Protein A: USH1G ; Protein B: USH2A,Protein A: PROT_0784 ; Protein B: PROT_1579,1
Protein A: PTPRC ; Protein B: CD44,Protein A: PROT_0850 ; Protein B: PROT_1569,1
Protein A: PRKCE ; Protein B: EZR,Protein A: PROT_3107 ; Protein B: PROT_2891,1
Protein A: MRPL39 ; Protein B: MRPS5,Protein A: PROT_1107 ; Protein B: PROT_0904,1
Protein A: RPS15 ; Protein B: EDF1,Protein A: PROT_3457 ; Protein B: PROT_2951,1
Protein A: CHRNA3 ; Protein B: CHRNB2,Protein A: PROT_2677 ; Protein B: PROT_2846,1
Protein A: HAP1 ; Protein B: SNRNP40,Protein A: PROT_0458 ; Protein B: PROT_2462,0
Protein A: PRAMEF15 ; Protein B: CNIH3,Protein A: PROT_1811 ; Protein B: PROT_1460,0
Protein A: MAP2K4 ; Protein B: RAC3,Protein A: PROT_1212 ; Protein B: PROT_2217,1
Protein A: CUL2 ; Protein B: DHX15,Protein A: PROT_2709 ; Protein B: PROT_0645,0
Protein A: ADCYAP1R1 ; Protein B: RRS1,Protein A: PROT_0436 ; Protein B: PROT_0572,0
Protein A: ICAM1 ; Protein B: CCL2,Protein A: PROT_1046 ; Protein B: PROT_0326,1
Protein A: DNMT3B ; Protein B: IGF1R,Protein A: PROT_2758 ; Protein B: PROT_0914,0
Protein A: F11R ; Protein B: RPLP2,Protein A: PROT_1080 ; Protein B: PROT_1502,0
Protein A: NFE2L2 ; Protein B: ATF4,Protein A: PROT_0774 ; Protein B: PROT_2596,1
Protein A: MED14 ; Protein B: CCNC,Protein A: PROT_0772 ; Protein B: PROT_2081,1
Protein A: RPL27 ; Protein B: RPL36A,Protein A: PROT_2484 ; Protein B: PROT_0951,1
Protein A: ILK ; Protein B: OSTM1,Protein A: PROT_0601 ; Protein B: PROT_0807,0
Protein A: ITGA2 ; Protein B: POLD1,Protein A: PROT_1843 ; Protein B: PROT_1678,0
Protein A: RPS23 ; Protein B: UTP4,Protein A: PROT_0605 ; Protein B: PROT_1147,1
Protein A: MRPS7 ; Protein B: ITPR2,Protein A: PROT_2868 ; Protein B: PROT_2366,0
Protein A: TJP1 ; Protein B: GNAQ,Protein A: PROT_2275 ; Protein B: PROT_0882,0
Protein A: PLAT ; Protein B: LRP1,Protein A: PROT_2952 ; Protein B: PROT_1829,1
Protein A: SGPP2 ; Protein B: ACER1,Protein A: PROT_2277 ; Protein B: PROT_3245,1
Protein A: USP4 ; Protein B: HSD17B7,Protein A: PROT_3072 ; Protein B: PROT_0371,0
Protein A: PSMC2 ; Protein B: PSMC4,Protein A: PROT_2811 ; Protein B: PROT_0401,1
Protein A: GRIN3B ; Protein B: DLG4,Protein A: PROT_2511 ; Protein B: PROT_0980,1
Protein A: MRPL11 ; Protein B: PES1,Protein A: PROT_0221 ; Protein B: PROT_2505,0
Protein A: IL4 ; Protein B: CALML3,Protein A: PROT_2875 ; Protein B: PROT_2440,0
Protein A: CAMK1D ; Protein B: MT-ND4,Protein A: PROT_2912 ; Protein B: PROT_2337,0
Protein A: BUB3 ; Protein B: CDC27,Protein A: PROT_2201 ; Protein B: PROT_0851,1
Protein A: TRRAP ; Protein B: NDUFV1,Protein A: PROT_3166 ; Protein B: PROT_2960,0
Protein A: NPM1 ; Protein B: ITGB1,Protein A: PROT_1238 ; Protein B: PROT_1039,0
Protein A: RPL12 ; Protein B: RPL31,Protein A: PROT_2519 ; Protein B: PROT_0051,1
Protein A: SRSF1 ; Protein B: TRA2A,Protein A: PROT_2287 ; Protein B: PROT_1289,1
Protein A: MAD2L1 ; Protein B: NUF2,Protein A: PROT_1864 ; Protein B: PROT_1551,1
Protein A: GLI3 ; Protein B: SMO,Protein A: PROT_0543 ; Protein B: PROT_3022,1
Protein A: MOS ; Protein B: TPM1,Protein A: PROT_1324 ; Protein B: PROT_0437,0
Protein A: RACK1 ; Protein B: RPL22,Protein A: PROT_2020 ; Protein B: PROT_2308,1
Protein A: SQOR ; Protein B: TST,Protein A: PROT_1445 ; Protein B: PROT_2721,1
Protein A: RNF103-CHMP3 ; Protein B: CHMP1A,Protein A: PROT_2015 ; Protein B: PROT_1156,1
Protein A: H3C10 ; Protein B: H2BC7,Protein A: PROT_0935 ; Protein B: PROT_0038,1
Protein A: TUFM ; Protein B: GTF2H4,Protein A: PROT_0933 ; Protein B: PROT_1735,0
Protein A: TTC7B ; Protein B: PI4KA,Protein A: PROT_1351 ; Protein B: PROT_2640,1
Protein A: EIF3D ; Protein B: EIF3K,Protein A: PROT_1902 ; Protein B: PROT_0477,1
Protein A: MRPS12 ; Protein B: MRPS18C,Protein A: PROT_1367 ; Protein B: PROT_2586,1
Protein A: NMNAT2 ; Protein B: AQR,Protein A: PROT_2607 ; Protein B: PROT_1078,0
Protein A: GTF2H3 ; Protein B: NGEF,Protein A: PROT_2615 ; Protein B: PROT_2617,0
Protein A: SGMS1 ; Protein B: GBA2,Protein A: PROT_1795 ; Protein B: PROT_1205,1
Protein A: EGFR ; Protein B: FGF18,Protein A: PROT_1771 ; Protein B: PROT_0501,1
Protein A: ASXL1 ; Protein B: SUZ12,Protein A: PROT_0313 ; Protein B: PROT_1462,1
Protein A: TPMT ; Protein B: HPRT1,Protein A: PROT_1371 ; Protein B: PROT_0797,1
Protein A: TLE1 ; Protein B: NUP58,Protein A: PROT_2480 ; Protein B: PROT_1164,0
Protein A: TRRAP ; Protein B: B4E1Z4_HUMAN,Protein A: PROT_3166 ; Protein B: PROT_2642,0
Protein A: CALML6 ; Protein B: KCNN2,Protein A: PROT_1604 ; Protein B: PROT_0566,1
Protein A: ATP5F1C ; Protein B: MRPL18,Protein A: PROT_0617 ; Protein B: PROT_1645,0
Protein A: RPL36 ; Protein B: BRD4,Protein A: PROT_0655 ; Protein B: PROT_1099,0
Protein A: DAAM2 ; Protein B: MAD2L1,Protein A: PROT_3313 ; Protein B: PROT_1864,0
Protein A: HBG2 ; Protein B: AHSP,Protein A: PROT_3321 ; Protein B: PROT_0104,1
Protein A: TSEN54 ; Protein B: CCT5,Protein A: PROT_2250 ; Protein B: PROT_1684,0
Protein A: PIK3R3 ; Protein B: RPL39,Protein A: PROT_2216 ; Protein B: PROT_3194,0
Protein A: RPL22 ; Protein B: RPS27A,Protein A: PROT_2308 ; Protein B: PROT_1145,1
Protein A: IMP3 ; Protein B: RPL11,Protein A: PROT_0752 ; Protein B: PROT_0169,1
Protein A: FGF17 ; Protein B: ICE2,Protein A: PROT_2824 ; Protein B: PROT_1728,0
Protein A: FBP2 ; Protein B: NAGS,Protein A: PROT_2907 ; Protein B: PROT_1073,0
Protein A: RTEL1 ; Protein B: SLC6A3,Protein A: PROT_2776 ; Protein B: PROT_2692,0
Protein A: YAP1 ; Protein B: CYP2A6,Protein A: PROT_2978 ; Protein B: PROT_3165,0
Protein A: MDH2 ; Protein B: DYNLT3,Protein A: PROT_3362 ; Protein B: PROT_0932,0
Protein A: RPL31 ; Protein B: GPAT4,Protein A: PROT_0051 ; Protein B: PROT_1707,0
Protein A: TRDN ; Protein B: HLA-G,Protein A: PROT_0916 ; Protein B: PROT_3113,0
Protein A: NECAP2 ; Protein B: AP2A2,Protein A: PROT_1766 ; Protein B: PROT_1305,1
