formula,anon,label
"Cr: 5, Fe: 81, B: 14","el_2802: 5, el_7694: 81, el_8033: 14",1
"Cr: 5, Fe: 83, B: 12","el_2802: 5, el_7694: 83, el_8033: 12",1
"Cr: 5, Fe: 87, B: 8","el_2802: 5, el_7694: 87, el_8033: 8",0
"Cr: 5, Fe: 89, B: 6","el_2802: 5, el_7694: 89, el_8033: 6",0
"Cr: 5, Fe: 91, B: 4","el_2802: 5, el_7694: 91, el_8033: 4",0
"Cr: 5, Ge: 18, Pd: 77","el_2802: 5, el_6419: 18, el_8322: 77",1
"Cr: 5, Ni: 11, B: 4","el_2802: 5, el_7611: 11, el_8033: 4",1
"Cr: 5, Ni: 3, P: 2","el_2802: 5, el_7611: 3, el_4874: 2",1
"Cr: 6.6, Fe: 79, B: 14.4","el_2802: 6.6, el_7694: 79, el_8033: 14.4",1
"Cr: 69.6, Ni: 16.2, P: 14.2","el_2802: 69.6, el_7611: 16.2, el_4874: 14.2",0
"Cr: 6, Co: 14, C: 5","el_2802: 6, el_9394: 14, el_2375: 5",0
"Cr: 6, Co: 15, C: 4","el_2802: 6, el_9394: 15, el_2375: 4",0
"Cr: 6, Fe: 11, B: 3","el_2802: 6, el_7694: 11, el_8033: 3",1
"Cr: 6, Fe: 16, B: 3","el_2802: 6, el_7694: 16, el_8033: 3",1
"Cr: 6, Fe: 17, B: 2","el_2802: 6, el_7694: 17, el_8033: 2",0
"Cr: 6, Fe: 39, B: 5","el_2802: 6, el_7694: 39, el_8033: 5",0
"Cr: 6, Fe: 41, B: 3","el_2802: 6, el_7694: 41, el_8033: 3",0
"Cr: 6, Fe: 43, B: 1","el_2802: 6, el_7694: 43, el_8033: 1",0
"Cr: 7, Co: 14, C: 4","el_2802: 7, el_9394: 14, el_2375: 4",0
"Cr: 7, Fe: 78, B: 15","el_2802: 7, el_7694: 78, el_8033: 15",1
"Cr: 7, Ge: 18, Pd: 75","el_2802: 7, el_6419: 18, el_8322: 75",1
"Cr: 7.5, Co: 67.5, B: 25","el_2802: 7.5, el_9394: 67.5, el_8033: 25",1
"Cr: 72.5, Ni: 13.5, P: 14","el_2802: 72.5, el_7611: 13.5, el_4874: 14",0
"Cr: 73, Fe: 10, P: 17","el_2802: 73, el_7694: 10, el_4874: 17",1
"Cr: 74, Fe: 9, P: 17","el_2802: 74, el_7694: 9, el_4874: 17",1
"Cr: 7, Co: 13, C: 5","el_2802: 7, el_9394: 13, el_2375: 5",1
"Cr: 7, Fe: 34, B: 9","el_2802: 7, el_7694: 34, el_8033: 9",1
"Cr: 7, Fe: 35, B: 8","el_2802: 7, el_7694: 35, el_8033: 8",1
"Cr: 7, Fe: 36, B: 7","el_2802: 7, el_7694: 36, el_8033: 7",1
"Cr: 7, Fe: 37, B: 6","el_2802: 7, el_7694: 37, el_8033: 6",1
"Cr: 7, Fe: 38, B: 5","el_2802: 7, el_7694: 38, el_8033: 5",0
"Cr: 7, Fe: 39, B: 4","el_2802: 7, el_7694: 39, el_8033: 4",0
"Cr: 7, Fe: 40, B: 3","el_2802: 7, el_7694: 40, el_8033: 3",0
"Cr: 7, Fe: 41, B: 2","el_2802: 7, el_7694: 41, el_8033: 2",0
"Cr: 7, Fe: 42, B: 1","el_2802: 7, el_7694: 42, el_8033: 1",0
"Cr: 7, Fe: 76, P: 17","el_2802: 7, el_7694: 76, el_4874: 17",1
"Cr: 7, Fe: 77, B: 16","el_2802: 7, el_7694: 77, el_8033: 16",1
"Cr: 7, Fe: 79, B: 14","el_2802: 7, el_7694: 79, el_8033: 14",1
"Cr: 7, Fe: 9, B: 4","el_2802: 7, el_7694: 9, el_8033: 4",1
"Cr: 7, Ni: 34, P: 9","el_2802: 7, el_7611: 34, el_4874: 9",1
"Cr: 7, Ni: 73, P: 20","el_2802: 7, el_7611: 73, el_4874: 20",1
"Cr: 7, Ni: 1, P: 2","el_2802: 7, el_7611: 1, el_4874: 2",0
"Cr: 7, Si: 20, Pd: 73","el_2802: 7, el_1995: 20, el_8322: 73",1
"Cr: 8, Fe: 39, B: 3","el_2802: 8, el_7694: 39, el_8033: 3",0
"Cr: 85, Fe: 6, B: 9","el_2802: 85, el_7694: 6, el_8033: 9",1
"Cr: 87, P: 13","el_2802: 87, el_4874: 13",0
"Cr: 8, Co: 12, C: 5","el_2802: 8, el_9394: 12, el_2375: 5",1
"Cr: 8, Co: 13, C: 4","el_2802: 8, el_9394: 13, el_2375: 4",0
"Cr: 8, Fe: 41, B: 1","el_2802: 8, el_7694: 41, el_8033: 1",0
"Cr: 9, Co: 12, C: 4","el_2802: 9, el_9394: 12, el_2375: 4",0
"Cr: 9, Co: 11, C: 5","el_2802: 9, el_9394: 11, el_2375: 5",1
"Cr: 9, Co: 7, B: 4","el_2802: 9, el_9394: 7, el_8033: 4",1
"Cr: 9, Fe: 35, B: 6","el_2802: 9, el_7694: 35, el_8033: 6",1
"Cr: 9, Fe: 36, B: 5","el_2802: 9, el_7694: 36, el_8033: 5",0
"Cr: 9, Fe: 37, B: 4","el_2802: 9, el_7694: 37, el_8033: 4",0
"Cr: 9, Fe: 38, B: 3","el_2802: 9, el_7694: 38, el_8033: 3",0
"Cr: 9, Fe: 76, B: 15","el_2802: 9, el_7694: 76, el_8033: 15",1
"Cr: 9, Ni: 31, P: 10","el_2802: 9, el_7611: 31, el_4874: 10",1
"Cr: 1, Co: 3, B: 1","el_2802: 1, el_9394: 3, el_8033: 1",1
"Cr: 1, Co: 7, B: 2","el_2802: 1, el_9394: 7, el_8033: 2",1
"Cr: 1, Co: 7, P: 2","el_2802: 1, el_9394: 7, el_4874: 2",1
"Cr: 1, Fe: 15, B: 4","el_2802: 1, el_7694: 15, el_8033: 4",1
"Cr: 1, Fe: 16, B: 3","el_2802: 1, el_7694: 16, el_8033: 3",1
"Cr: 1, Fe: 17, B: 2","el_2802: 1, el_7694: 17, el_8033: 2",0
"Cr: 1, Fe: 18, C: 1","el_2802: 1, el_7694: 18, el_2375: 1",0
"Cr: 1, Fe: 19, B: 5","el_2802: 1, el_7694: 19, el_8033: 5",1
"Cr: 1, Fe: 19, P: 5","el_2802: 1, el_7694: 19, el_4874: 5",1
"Cr: 1, Fe: 39, P: 10","el_2802: 1, el_7694: 39, el_4874: 10",1
"Cr: 1, Fe: 3, B: 1","el_2802: 1, el_7694: 3, el_8033: 1",1
"Cr: 1, Fe: 79, B: 20","el_2802: 1, el_7694: 79, el_8033: 20",1
"Cr: 1, Fe: 7, B: 2","el_2802: 1, el_7694: 7, el_8033: 2",1
"Cr: 1, Fe: 8, B: 1","el_2802: 1, el_7694: 8, el_8033: 1",0
"Cr: 1, Ni: 15, P: 4","el_2802: 1, el_7611: 15, el_4874: 4",1
"Cr: 1, Ni: 3, B: 1","el_2802: 1, el_7611: 3, el_8033: 1",1
"Cr: 1, Ni: 3, P: 1","el_2802: 1, el_7611: 3, el_4874: 1",1
"Cr: 1, Ni: 7, B: 2","el_2802: 1, el_7611: 7, el_8033: 2",1
"Cr: 1, Ni: 7, P: 2","el_2802: 1, el_7611: 7, el_4874: 2",1
"Cr: 1, Si: 10, Pd: 39","el_2802: 1, el_1995: 10, el_8322: 39",1
"Cr: 1, Si: 20, Pd: 79","el_2802: 1, el_1995: 20, el_8322: 79",1
"Cr: 1, Si: 4, Pd: 15","el_2802: 1, el_1995: 4, el_8322: 15",1
"Cr: 1, Si: 5, Pd: 19","el_2802: 1, el_1995: 5, el_8322: 19",1
"Cu: 1, Ni: 75, P: 24","el_1377: 1, el_7611: 75, el_4874: 24",0
"Cu: 1, Ni: 20, P: 4","el_1377: 1, el_7611: 20, el_4874: 4",0
"Cu: 1.7, Si: 16.5, Pd: 81.8","el_1377: 1.7, el_1995: 16.5, el_8322: 81.8",1
"Cu: 10, Si: 15.8, Pd: 74.2","el_1377: 10, el_1995: 15.8, el_8322: 74.2",1
"Cu: 10, Si: 16.5, Pd: 73.5","el_1377: 10, el_1995: 16.5, el_8322: 73.5",1
"Cu: 10, Si: 17, Pd: 73","el_1377: 10, el_1995: 17, el_8322: 73",1
"Cu: 11, Si: 19.5, Pd: 69.5","el_1377: 11, el_1995: 19.5, el_8322: 69.5",1
"Cu: 12.5, Si: 16.5, Pd: 71","el_1377: 12.5, el_1995: 16.5, el_8322: 71",1
"Cu: 12.5, Si: 17, Pd: 70.5","el_1377: 12.5, el_1995: 17, el_8322: 70.5",1
"Cu: 12, Ni: 67, P: 21","el_1377: 12, el_7611: 67, el_4874: 21",0
"Cu: 12, Si: 15.5, Pd: 72.5","el_1377: 12, el_1995: 15.5, el_8322: 72.5",1
"Cu: 13, Ni: 66, P: 21","el_1377: 13, el_7611: 66, el_4874: 21",0
"Cu: 13, Ni: 69, P: 18","el_1377: 13, el_7611: 69, el_4874: 18",0
"Cu: 13, Ag: 12","el_1377: 13, el_3063: 12",0
"Cu: 13, Ni: 67, P: 20","el_1377: 13, el_7611: 67, el_4874: 20",0
"Cu: 14.4, Ni: 65.6, P: 20","el_1377: 14.4, el_7611: 65.6, el_4874: 20",1
"Cu: 14.5, Si: 16.5, Pd: 69","el_1377: 14.5, el_1995: 16.5, el_8322: 69",1
"Cu: 14, Si: 15.1, Pd: 70.9","el_1377: 14, el_1995: 15.1, el_8322: 70.9",1
"Cu: 15, Si: 16.5, Pd: 68.5","el_1377: 15, el_1995: 16.5, el_8322: 68.5",1
"Cu: 15, Si: 16, Pd: 69","el_1377: 15, el_1995: 16, el_8322: 69",1
"Cu: 16.5, Si: 16.5, Pd: 67","el_1377: 16.5, el_1995: 16.5, el_8322: 67",1
"Cu: 19, Si: 16.5, Pd: 64.5","el_1377: 19, el_1995: 16.5, el_8322: 64.5",1
"Cu: 2, Ni: 39, P: 9","el_1377: 2, el_7611: 39, el_4874: 9",1
"Cu: 20.9, Si: 16.5, Pd: 62.6","el_1377: 20.9, el_1995: 16.5, el_8322: 62.6",1
"Cu: 26.7, Si: 16.5, Pd: 56.8","el_1377: 26.7, el_1995: 16.5, el_8322: 56.8",0
"Cu: 2, Ag: 2, Ge: 1","el_1377: 2, el_3063: 2, el_6419: 1",1
"Cu: 2, Ni: 18, P: 5","el_1377: 2, el_7611: 18, el_4874: 5",1
"Cu: 2, Ni: 37, P: 11","el_1377: 2, el_7611: 37, el_4874: 11",1
"Cu: 2, Si: 17.25, Pd: 80.75","el_1377: 2, el_1995: 17.25, el_8322: 80.75",1
"Cu: 3.5, Si: 16.5, Pd: 80","el_1377: 3.5, el_1995: 16.5, el_8322: 80",1
"Cu: 37.5, Ag: 37.5, Ge: 25","el_1377: 37.5, el_3063: 37.5, el_6419: 25",1
"Cu: 38.75, Ag: 38.75, Ge: 22.5","el_1377: 38.75, el_3063: 38.75, el_6419: 22.5",1
"Cu: 3, Ni: 17, P: 5","el_1377: 3, el_7611: 17, el_4874: 5",1
"Cu: 3, Ni: 36, P: 11","el_1377: 3, el_7611: 36, el_4874: 11",1
"Cu: 3, Ni: 37, P: 10","el_1377: 3, el_7611: 37, el_4874: 10",1
"Cu: 3, Ni: 38, P: 9","el_1377: 3, el_7611: 38, el_4874: 9",1
"Cu: 3, Ni: 73, P: 24","el_1377: 3, el_7611: 73, el_4874: 24",0
"Cu: 3, Ni: 80, B: 17","el_1377: 3, el_7611: 80, el_8033: 17",1
"Cu: 3, Ni: 81, P: 16","el_1377: 3, el_7611: 81, el_4874: 16",0
"Cu: 3, Si: 17, Pd: 80","el_1377: 3, el_1995: 17, el_8322: 80",1
"Cu: 4.2, Si: 16.5, Pd: 79.3","el_1377: 4.2, el_1995: 16.5, el_8322: 79.3",1
"Cu: 4.5, Si: 18, Pd: 77.5","el_1377: 4.5, el_1995: 18, el_8322: 77.5",1
"Cu: 4, Ni: 35, P: 11","el_1377: 4, el_7611: 35, el_4874: 11",1
"Cu: 4, Ni: 37, P: 9","el_1377: 4, el_7611: 37, el_4874: 9",1
"Cu: 4, Si: 16.5, Pd: 79.5","el_1377: 4, el_1995: 16.5, el_8322: 79.5",1
"Cu: 4, Si: 16.9, Pd: 79.1","el_1377: 4, el_1995: 16.9, el_8322: 79.1",1
"Cu: 4, Si: 9, Pd: 37","el_1377: 4, el_1995: 9, el_8322: 37",1
"Cu: 5, Ni: 36, P: 9","el_1377: 5, el_7611: 36, el_4874: 9",1
"Cu: 5.7, Si: 20.5, Pd: 73.8","el_1377: 5.7, el_1995: 20.5, el_8322: 73.8",1
"Cu: 5.8, Si: 19.5, Pd: 74.7","el_1377: 5.8, el_1995: 19.5, el_8322: 74.7",1
"Cu: 5.9, Si: 17.5, Pd: 76.6","el_1377: 5.9, el_1995: 17.5, el_8322: 76.6",1
"Cu: 5.9, Si: 18.5, Pd: 75.6","el_1377: 5.9, el_1995: 18.5, el_8322: 75.6",1
"Cu: 52.8, Ni: 27.2, P: 20","el_1377: 52.8, el_7611: 27.2, el_4874: 20",1
"Cu: 5, Ni: 34, P: 11","el_1377: 5, el_7611: 34, el_4874: 11",1
"Cu: 6, Si: 11, Pd: 33","el_1377: 6, el_1995: 11, el_8322: 33",1
"Cu: 6.1, Si: 15.5, Pd: 78.4","el_1377: 6.1, el_1995: 15.5, el_8322: 78.4",1
"Cu: 6.7, Si: 16.5, Pd: 76.8","el_1377: 6.7, el_1995: 16.5, el_8322: 76.8",1
"Cu: 61.6, Ni: 18.4, P: 20","el_1377: 61.6, el_7611: 18.4, el_4874: 20",1
"Cu: 67, Ni: 17, P: 16","el_1377: 67, el_7611: 17, el_4874: 16",1
"Cu: 69, Ni: 13, P: 18","el_1377: 69, el_7611: 13, el_4874: 18",1
"Cu: 6, Si: 16.5, Pd: 77.5","el_1377: 6, el_1995: 16.5, el_8322: 77.5",1
"Cu: 73, Ag: 27","el_1377: 73, el_3063: 27",0
"Cu: 73, Ni: 11, P: 16","el_1377: 73, el_7611: 11, el_4874: 16",1
"Cu: 78.5, Ag: 14, P: 7.5","el_1377: 78.5, el_3063: 14, el_4874: 7.5",0
"Cu: 7, Ni: 33, P: 10","el_1377: 7, el_7611: 33, el_4874: 10",0
"Cu: 7, Ni: 34, P: 9","el_1377: 7, el_7611: 34, el_4874: 9",0
"Cu: 7, Si: 16.5, Pd: 76.5","el_1377: 7, el_1995: 16.5, el_8322: 76.5",1
"Cu: 7, Si: 17, Pd: 76","el_1377: 7, el_1995: 17, el_8322: 76",1
"Cu: 7, Si: 20, Pd: 73","el_1377: 7, el_1995: 20, el_8322: 73",1
"Cu: 80.3, Ag: 12.2, P: 7.5","el_1377: 80.3, el_3063: 12.2, el_4874: 7.5",1
"Cu: 80.5, Ag: 10.5, P: 9","el_1377: 80.5, el_3063: 10.5, el_4874: 9",0
"Cu: 80.8, Ag: 12.2, P: 7","el_1377: 80.8, el_3063: 12.2, el_4874: 7",1
"Cu: 81.5, Ag: 10.5, P: 8","el_1377: 81.5, el_3063: 10.5, el_4874: 8",1
"Cu: 81.5, Ag: 12.2, P: 6.3","el_1377: 81.5, el_3063: 12.2, el_4874: 6.3",0
"Cu: 81.9, Ag: 10.5, P: 7.6","el_1377: 81.9, el_3063: 10.5, el_4874: 7.6",1
"Cu: 82.5, Ag: 10.5, P: 7","el_1377: 82.5, el_3063: 10.5, el_4874: 7",1
"Cu: 82.5, Ag: 9, P: 8.5","el_1377: 82.5, el_3063: 9, el_4874: 8.5",0
"Cu: 82.8, Ag: 9, P: 8.2","el_1377: 82.8, el_3063: 9, el_4874: 8.2",1
"Cu: 83.5, Ag: 8.9, P: 7.6","el_1377: 83.5, el_3063: 8.9, el_4874: 7.6",1
"Cu: 84.5, Ag: 7, P: 8.5","el_1377: 84.5, el_3063: 7, el_4874: 8.5",0
"Cu: 84.5, Ag: 9, P: 6.5","el_1377: 84.5, el_3063: 9, el_4874: 6.5",0
"Cu: 84, Ag: 9, P: 7","el_1377: 84, el_3063: 9, el_4874: 7",1
"Cu: 85, Ag: 9, P: 6","el_1377: 85, el_3063: 9, el_4874: 6",0
"Cu: 85.2, Ag: 7.1, P: 7.7","el_1377: 85.2, el_3063: 7.1, el_4874: 7.7",1
"Cu: 85.5, Ag: 7.5, P: 7","el_1377: 85.5, el_3063: 7.5, el_4874: 7",1
"Cu: 86, Ag: 7.5, P: 6.5","el_1377: 86, el_3063: 7.5, el_4874: 6.5",0
"Cu: 87, Ag: 5.5, P: 7.5","el_1377: 87, el_3063: 5.5, el_4874: 7.5",0
"Cu: 8, Si: 16.2, Pd: 75.8","el_1377: 8, el_1995: 16.2, el_8322: 75.8",1
"Cu: 9, Si: 16, Pd: 75","el_1377: 9, el_1995: 16, el_8322: 75",1
"Cu: 1, Ni: 19, P: 5","el_1377: 1, el_7611: 19, el_4874: 5",1
"Cu: 1, Ni: 37, P: 12","el_1377: 1, el_7611: 37, el_4874: 12",0
"Cu: 1, Ni: 38, P: 11","el_1377: 1, el_7611: 38, el_4874: 11",1
"Cu: 1, Ni: 39, P: 10","el_1377: 1, el_7611: 39, el_4874: 10",1
"Cu: 1, Ni: 40, P: 9","el_1377: 1, el_7611: 40, el_4874: 9",1
"Cu: 1, Ni: 41, P: 8","el_1377: 1, el_7611: 41, el_4874: 8",0
"Cu: 1, Ni: 7, P: 2","el_1377: 1, el_7611: 7, el_4874: 2",1
"Cu: 1, Ni: 83, P: 16","el_1377: 1, el_7611: 83, el_4874: 16",0
"Cu: 1, Si: 2, Pd: 7","el_1377: 1, el_1995: 2, el_8322: 7",1
"Dy: 0.3, Zr: 10, Fe: 89.7","el_5122: 0.3, el_5500: 10, el_7694: 89.7",1
"Dy: 42, Zr: 5, Fe: 3","el_5122: 42, el_5500: 5, el_7694: 3",0
"Dy: 44, Zr: 5, Fe: 1","el_5122: 44, el_5500: 5, el_7694: 1",1
"Er: 67.5, B: 10, Au: 22.5","el_1966: 67.5, el_8033: 10, el_4442: 22.5",1
"Fe: 1, Cu: 2, Ag: 2","el_7694: 1, el_1377: 2, el_3063: 2",0
"Fe: 1.7, Si: 16.5, Pd: 81.8","el_7694: 1.7, el_1995: 16.5, el_8322: 81.8",1
"Fe: 10, B: 19, N: 21","el_7694: 10, el_8033: 19, el_4922: 21",1
"Fe: 10, Si: 16.5, Pd: 73.5","el_7694: 10, el_1995: 16.5, el_8322: 73.5",1
"Fe: 12.3, Ni: 64.7, B: 23","el_7694: 12.3, el_7611: 64.7, el_8033: 23",1
"Fe: 12.5, Si: 16.5, Pd: 71","el_7694: 12.5, el_1995: 16.5, el_8322: 71",1
"Fe: 12.5, Si: 6, B: 81.5","el_7694: 12.5, el_1995: 6, el_8033: 81.5",0
"Fe: 12, Ag: 13","el_7694: 12, el_3063: 13",0
"Fe: 12, B: 5, F: 3","el_7694: 12, el_8033: 5, el_6130: 3",1
"Fe: 12, B: 7, F: 1","el_7694: 12, el_8033: 7, el_6130: 1",1
"Fe: 12, Cu: 3, Ag: 10","el_7694: 12, el_1377: 3, el_3063: 10",0
"Fe: 13, Ag: 12","el_7694: 13, el_3063: 12",0
"Fe: 13, B: 4, F: 3","el_7694: 13, el_8033: 4, el_6130: 3",1
"Fe: 13, B: 7","el_7694: 13, el_8033: 7",1
"Fe: 13, Cu: 47, Ag: 40","el_7694: 13, el_1377: 47, el_3063: 40",0
"Fe: 13, Ni: 2, B: 5","el_7694: 13, el_7611: 2, el_8033: 5",1
"Fe: 13, Ni: 5, B: 2","el_7694: 13, el_7611: 5, el_8033: 2",0
"Fe: 13, Si: 20, Pd: 67","el_7694: 13, el_1995: 20, el_8322: 67",1
"Fe: 13, Si: 2, C: 5","el_7694: 13, el_1995: 2, el_2375: 5",1
"Fe: 13, Si: 3, B: 4","el_7694: 13, el_1995: 3, el_8033: 4",1
"Fe: 13, Si: 3, C: 4","el_7694: 13, el_1995: 3, el_2375: 4",1
"Fe: 13, Si: 4, C: 3","el_7694: 13, el_1995: 4, el_2375: 3",1
"Fe: 13, Si: 5, C: 2","el_7694: 13, el_1995: 5, el_2375: 2",1
"Fe: 14, Si: 3, B: 3","el_7694: 14, el_1995: 3, el_8033: 3",1
"Fe: 14, Si: 3, C: 3","el_7694: 14, el_1995: 3, el_2375: 3",1
"Fe: 14, Cu: 55, Ag: 31","el_7694: 14, el_1377: 55, el_3063: 31",0
"Fe: 15, B: 2, Mo: 3","el_7694: 15, el_8033: 2, el_3373: 3",1
"Fe: 15, B: 4, Mo: 1","el_7694: 15, el_8033: 4, el_3373: 1",1
"Fe: 15, Co: 1, B: 4","el_7694: 15, el_9394: 1, el_8033: 4",1
"Fe: 15, Cu: 22, Ag: 13","el_7694: 15, el_1377: 22, el_3063: 13",0
"Fe: 15, Cu: 3, B: 2","el_7694: 15, el_1377: 3, el_8033: 2",0
"Fe: 15, Cu: 1, B: 4","el_7694: 15, el_1377: 1, el_8033: 4",0
"Fe: 15, Ni: 3, B: 2","el_7694: 15, el_7611: 3, el_8033: 2",0
"Fe: 15, Ni: 1, B: 4","el_7694: 15, el_7611: 1, el_8033: 4",1
"Fe: 15, P: 2, C: 3","el_7694: 15, el_4874: 2, el_2375: 3",1
"Fe: 15, P: 3, C: 2","el_7694: 15, el_4874: 3, el_2375: 2",1
"Fe: 15, P: 4, C: 1","el_7694: 15, el_4874: 4, el_2375: 1",1
"Fe: 15, Si: 16.5, Pd: 68.5","el_7694: 15, el_1995: 16.5, el_8322: 68.5",0
"Fe: 15, Si: 2, B: 3","el_7694: 15, el_1995: 2, el_8033: 3",1
"Fe: 15, Si: 3, B: 2","el_7694: 15, el_1995: 3, el_8033: 2",1
"Fe: 15, Si: 1, B: 4","el_7694: 15, el_1995: 1, el_8033: 4",1
"Fe: 16.5, Co: 66.5, B: 17","el_7694: 16.5, el_9394: 66.5, el_8033: 17",1
"Fe: 16, B: 3, C: 1","el_7694: 16, el_8033: 3, el_2375: 1",1
"Fe: 16, B: 3, P: 1","el_7694: 16, el_8033: 3, el_4874: 1",1
"Fe: 16, B: 4, Mo: 5","el_7694: 16, el_8033: 4, el_3373: 5",1
"Fe: 16, Cu: 5, B: 4","el_7694: 16, el_1377: 5, el_8033: 4",0
"Fe: 16, Ge: 1, B: 3","el_7694: 16, el_6419: 1, el_8033: 3",1
"Fe: 16, Ni: 5, B: 4","el_7694: 16, el_7611: 5, el_8033: 4",1
"Fe: 16, P: 3, C: 1","el_7694: 16, el_4874: 3, el_2375: 1",1
"Fe: 16, P: 1, C: 3","el_7694: 16, el_4874: 1, el_2375: 3",0
"Fe: 16, Si: 3, B: 1","el_7694: 16, el_1995: 3, el_8033: 1",1
"Fe: 16, Si: 1, B: 3","el_7694: 16, el_1995: 1, el_8033: 3",1
"Fe: 16, Si: 1, P: 3","el_7694: 16, el_1995: 1, el_4874: 3",1
"Fe: 16, W: 4, C: 5","el_7694: 16, el_7486: 4, el_2375: 5",0
"Fe: 17, Cu: 15, Ag: 18","el_7694: 17, el_1377: 15, el_3063: 18",0
"Fe: 17, B: 2, C: 1","el_7694: 17, el_8033: 2, el_2375: 1",1
"Fe: 17, B: 2, Mo: 1","el_7694: 17, el_8033: 2, el_3373: 1",0
"Fe: 17, B: 3","el_7694: 17, el_8033: 3",1
"Fe: 17, B: 3, Mo: 5","el_7694: 17, el_8033: 3, el_3373: 5",1
"Fe: 17, Cu: 5, B: 3","el_7694: 17, el_1377: 5, el_8033: 3",0
"Fe: 17, Cu: 8","el_7694: 17, el_1377: 8",0
"Fe: 17, Cu: 1, B: 2","el_7694: 17, el_1377: 1, el_8033: 2",0
"Fe: 17, Ni: 5, B: 3","el_7694: 17, el_7611: 5, el_8033: 3",1
"Fe: 17, Ni: 1, B: 2","el_7694: 17, el_7611: 1, el_8033: 2",1
"Fe: 17, P: 2, C: 1","el_7694: 17, el_4874: 2, el_2375: 1",0
"Fe: 17, W: 3, C: 5","el_7694: 17, el_7486: 3, el_2375: 5",1
"Fe: 18.5, Ni: 54.5, B: 27","el_7694: 18.5, el_7611: 54.5, el_8033: 27",1
"Fe: 18, B: 2, Mo: 5","el_7694: 18, el_8033: 2, el_3373: 5",0
"Fe: 18, B: 5, Mo: 2","el_7694: 18, el_8033: 5, el_3373: 2",1
"Fe: 18, B: 5, W: 2","el_7694: 18, el_8033: 5, el_7486: 2",1
"Fe: 18, Ni: 53, B: 29","el_7694: 18, el_7611: 53, el_8033: 29",1
"Fe: 18, Ni: 5, B: 2","el_7694: 18, el_7611: 5, el_8033: 2",0
"Fe: 18, Si: 4, B: 3","el_7694: 18, el_1995: 4, el_8033: 3",1
"Fe: 18, W: 2, C: 5","el_7694: 18, el_7486: 2, el_2375: 5",0
"Fe: 19, B: 4, Mo: 2","el_7694: 19, el_8033: 4, el_3373: 2",1
"Fe: 19, B: 3, Mo: 3","el_7694: 19, el_8033: 3, el_3373: 3",1
"Fe: 19.5, Ni: 58.5, B: 22","el_7694: 19.5, el_7611: 58.5, el_8033: 22",1
"Fe: 19, B: 1","el_7694: 19, el_8033: 1",0
"Fe: 19, B: 5, Mo: 1","el_7694: 19, el_8033: 5, el_3373: 1",1
"Fe: 19, B: 5, P: 1","el_7694: 19, el_8033: 5, el_4874: 1",1
"Fe: 19, B: 5, W: 1","el_7694: 19, el_8033: 5, el_7486: 1",1
"Fe: 19, B: 6","el_7694: 19, el_8033: 6",1
"Fe: 19, B: 1, Mo: 5","el_7694: 19, el_8033: 1, el_3373: 5",0
"Fe: 19, Co: 1, B: 5","el_7694: 19, el_9394: 1, el_8033: 5",1
"Fe: 19, Ni: 19, B: 12","el_7694: 19, el_7611: 19, el_8033: 12",1
"Fe: 19, Ni: 21, B: 10","el_7694: 19, el_7611: 21, el_8033: 10",1
"Fe: 19, Ni: 5, B: 1","el_7694: 19, el_7611: 5, el_8033: 1",0
"Fe: 19, W: 1, C: 5","el_7694: 19, el_7486: 1, el_2375: 5",0
"Fe: 20, Ni: 21, B: 9","el_7694: 20, el_7611: 21, el_8033: 9",1
"Fe: 20.5, Ni: 60.5, B: 19","el_7694: 20.5, el_7611: 60.5, el_8033: 19",1
"Fe: 20, B: 2, Mo: 3","el_7694: 20, el_8033: 2, el_3373: 3",0
"Fe: 20, B: 2, P: 3","el_7694: 20, el_8033: 2, el_4874: 3",1
"Fe: 20, B: 3, Mo: 2","el_7694: 20, el_8033: 3, el_3373: 2",1
"Fe: 20, B: 3, P: 2","el_7694: 20, el_8033: 3, el_4874: 2",1
"Fe: 20, B: 4, C: 1","el_7694: 20, el_8033: 4, el_2375: 1",1
"Fe: 20, B: 4, P: 1","el_7694: 20, el_8033: 4, el_4874: 1",1
"Fe: 20, B: 1, F: 4","el_7694: 20, el_8033: 1, el_6130: 4",0
"Fe: 20, B: 1, P: 4","el_7694: 20, el_8033: 1, el_4874: 4",1
"Fe: 20, Cu: 11, Ag: 19","el_7694: 20, el_1377: 11, el_3063: 19",1
"Fe: 20, Cu: 49, Ag: 31","el_7694: 20, el_1377: 49, el_3063: 31",0
"Fe: 20, Ge: 2, B: 3","el_7694: 20, el_6419: 2, el_8033: 3",1
"Fe: 20, Si: 2, B: 3","el_7694: 20, el_1995: 2, el_8033: 3",1
"Fe: 20, Si: 2, P: 3","el_7694: 20, el_1995: 2, el_4874: 3",1
"Fe: 20, Si: 1, P: 4","el_7694: 20, el_1995: 1, el_4874: 4",1
"Fe: 20, W: 1, C: 4","el_7694: 20, el_7486: 1, el_2375: 4",0
"Fe: 21, B: 4","el_7694: 21, el_8033: 4",1
"Fe: 21, B: 1, Mo: 3","el_7694: 21, el_8033: 1, el_3373: 3",0
"Fe: 21, B: 1, P: 3","el_7694: 21, el_8033: 1, el_4874: 3",0
"Fe: 21, Co: 62, B: 17","el_7694: 21, el_9394: 62, el_8033: 17",1
"Fe: 21, Cu: 15, Ag: 14","el_7694: 21, el_1377: 15, el_3063: 14",1
"Fe: 21, Cu: 6, Ag: 23","el_7694: 21, el_1377: 6, el_3063: 23",1
